CASERNE,MUNICIPALITY/BOROUGH,CODE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
48,Mercier-Hochelaga-Maisonneuve,REM22,5166.3,5246.5,5171.7,5198.7,5172.2,5209.9,5282.6,5372.4,5279.7,5309.1,5422.6,5496.5,5541.3,5583.3,5528.0,5681.0,5749.1,5643.9,5620.2,5890.9
75,Outremont,REM05,5990.5,5958.7,5928.5,6004.6,6047.7,6134.1,6291.0,6370.8,6173.3,6218.2,6349.2,6421.3,6453.1,6519.2,6427.4,6622.1,6783.6,6707.4,6796.2,6942.3
64,Lachine,REM27,2360.7,2370.1,2362.6,2391.7,2398.0,2386.8,2434.1,2502.8,2419.9,2442.3,2517.0,2542.5,2553.0,2566.0,2584.4,2650.2,2693.3,2643.7,2653.7,2834.6
71,Saint-Laurent,REM15,1900.2,1929.1,1951.9,2027.2,2025.3,2103.5,2148.3,2229.7,2258.1,2320.9,2339.1,2372.2,2409.6,2439.3,2399.2,2459.1,2498.3,2429.1,2438.5,2578.6
72,Saint-Laurent,REM15,1900.2,1929.1,1951.9,2027.2,2025.3,2103.5,2148.3,2229.7,2258.1,2320.9,2339.1,2372.2,2409.6,2439.3,2399.2,2459.1,2498.3,2429.1,2438.5,2578.6
73,Saint-Laurent,REM15,1900.2,1929.1,1951.9,2027.2,2025.3,2103.5,2148.3,2229.7,2258.1,2320.9,2339.1,2372.2,2409.6,2439.3,2399.2,2459.1,2498.3,2429.1,2438.5,2578.6
57,Pierrefonds-Roxboro,REM31,2404.3,2404.3,2427.7,2454.6,2466.8,2493.6,2540.2,2577.3,2572.3,2612.7,2651.6,2671.5,2681.8,2692.9,2628.5,2702.2,2769.2,2726.5,2700.9,2754.1
58,Pierrefonds-Roxboro,REM31,2404.3,2404.3,2427.7,2454.6,2466.8,2493.6,2540.2,2577.3,2572.3,2612.7,2651.6,2671.5,2681.8,2692.9,2628.5,2702.2,2769.2,2726.5,2700.9,2754.1
59,Pierrefonds-Roxboro,REM31,2404.3,2404.3,2427.7,2454.6,2466.8,2493.6,2540.2,2577.3,2572.3,2612.7,2651.6,2671.5,2681.8,2692.9,2628.5,2702.2,2769.2,2726.5,2700.9,2754.1
35,Ahuntsic-Cartierville,REM23,5324.4,5381.0,5276.4,5350.7,5333.4,5256.0,5356.3,5462.8,5345.2,5432.6,5548.1,5638.9,5684.0,5692.4,5671.9,5841.0,5906.4,5768.1,5740.6,5960.0
42,Ahuntsic-Cartierville,REM23,5324.4,5381.0,5276.4,5350.7,5333.4,5256.0,5356.3,5462.8,5345.2,5432.6,5548.1,5638.9,5684.0,5692.4,5671.9,5841.0,5906.4,5768.1,5740.6,5960.0
43,Ahuntsic-Cartierville,REM23,5324.4,5381.0,5276.4,5350.7,5333.4,5256.0,5356.3,5462.8,5345.2,5432.6,5548.1,5638.9,5684.0,5692.4,5671.9,5841.0,5906.4,5768.1,5740.6,5960.0
49,Ahuntsic-Cartierville,REM23,5324.4,5381.0,5276.4,5350.7,5333.4,5256.0,5356.3,5462.8,5345.2,5432.6,5548.1,5638.9,5684.0,5692.4,5671.9,5841.0,5906.4,5768.1,5740.6,5960.0
66,Verdun,REM12,6494.8,6560.3,6605.1,6967.1,6702.9,6982.3,7109.2,7217.5,6912.1,6992.6,7183.6,7270.8,7336.3,7389.3,7342.8,7465.9,7553.6,7407.2,7507.2,7836.8
67,Verdun,REM12,6494.8,6560.3,6605.1,6967.1,6702.9,6982.3,7109.2,7217.5,6912.1,6992.6,7183.6,7270.8,7336.3,7389.3,7342.8,7465.9,7553.6,7407.2,7507.2,7836.8
65,Lasalle,REM17,4638.1,4650.1,4626.2,4691.0,4636.9,4656.9,4721.3,4788.5,4656.3,4706.0,4814.5,4886.6,4913.3,4970.1,4900.8,5034.6,5097.2,4989.5,5087.9,5581.3
56,L'Île-Bizard-Sainte-Geneviève,REM32,761.9,761.9,764.7,762.3,784.3,762.0,775.4,790.0,782.1,787.6,803.1,810.3,813.2,822.0,809.9,834.2,847.8,848.9,841.4,848.4
52,Baie-D'Urfé,66112,660.8,660.8,658.8,664.0,657.7,654.7,646.8,647.0,649.3,646.3,645.5,650.0,641.2,648.3,651.2,653.7,657.3,660.3,648.2,618.3
53,Beaconsfield,66107,1834.8,1834.8,1842.0,1774.3,1742.5,1761.6,1801.5,1822.4,1771.3,1777.0,1804.3,1800.1,1814.3,1825.0,1780.7,1816.1,1812.9,1829.5,1795.9,1753.6
78,Côte-Saint-Luc,66058,4599.9,4599.9,4603.5,4632.6,4559.1,4680.3,4739.6,4802.9,4727.8,4770.1,4839.4,4905.4,4937.1,4994.8,4875.9,5037.8,5089.4,5059.6,5133.2,5483.0
61,Dollard-Des-Ormeaux,66142,3338.0,3338.0,3336.0,3285.5,3252.0,3253.0,3283.0,3299.6,3277.6,3297.0,3335.5,3341.4,3358.6,3368.4,3251.6,3319.3,3309.3,3269.5,3283.4,3300.7
