nb_fire_hydrant,INCIDENT_NBR,CREATION_DATE,INCIDENT_TYPE_DESC,DESCRIPTION_GROUPE,CASERNE,NOM_VILLE,NOM_ARROND,DIVISION,LATITUDE,LONGITUDE,NOMBRE_UNITES
441,41095,2023-04-27 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.464904,-73.566817,1
441,42097,2023-04-30 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.464904,-73.566817,1
441,44200,2023-05-06 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.445591,-73.573359,1
441,44532,2023-05-07 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.446935,-73.572376,1
441,44651,2023-05-08 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.453483,-73.581811,6
441,45073,2023-05-09 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.460122,-73.56725,1
441,47028,2023-05-15 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.464222,-73.562797,1
441,47900,2023-05-17 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.461837,-73.575792,6
441,48101,2023-05-18 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.459234,-73.567331,1
441,50990,2023-05-27 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.463842,-73.566912,1
441,51165,2023-05-28 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.4559,-73.564261,1
441,51735,2023-05-29 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.462781,-73.567009,1
441,51901,2023-05-29 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.459502,-73.563208,6
441,52139,2023-05-30 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.44314,-73.592774,1
441,52290,2023-05-30 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.450291,-73.576825,1
441,53721,2023-06-02 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.454841,-73.565198,1
441,54088,2023-06-03 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.455235,-73.564828,1
441,54204,2023-06-04 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.463477,-73.564992,6
441,54478,2023-06-04 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.441401,-73.596089,2
441,55005,2023-06-06 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.464879,-73.56627,4
441,55014,2023-06-06 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.461011,-73.567169,1
441,55430,2023-06-07 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.470822,-73.561341,3
441,55853,2023-06-08 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.464724,-73.562838,1
441,56060,2023-06-09 00:00:00,Feu / 2e Alerte,Incendies de bâtiments,66,Montréal,Verdun,2,45.454044,-73.566439,34
441,56923,2023-06-12 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.464092,-73.56454,3
441,57168,2023-06-12 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.454487,-73.565788,1
441,58543,2023-06-16 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.462464,-73.562547,1
441,58963,2023-06-17 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.439976,-73.586066,1
441,60269,2023-06-21 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.465417,-73.578715,1
441,60903,2023-06-23 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.465417,-73.578715,1
441,62283,2023-06-26 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.450841,-73.574607,6
441,67387,2023-07-09 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.447585,-73.571511,1
441,68132,2023-07-11 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.451221,-73.568069,1
441,68740,2023-07-13 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.466281,-73.572145,1
441,68761,2023-07-13 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.444915,-73.574611,1
441,69042,2023-07-13 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.435953,-73.587393,1
441,69067,2023-07-13 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.457847,-73.567456,1
441,69657,2023-07-14 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.458427,-73.567404,10
441,70021,2023-07-15 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.464904,-73.566817,1
441,70025,2023-07-15 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.461537,-73.57937,1
441,70158,2023-07-16 00:00:00,Feu de navire/bâteau,Autres incendies,66,Montréal,Verdun,2,45.462464,-73.562547,15
441,71427,2023-07-19 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46283,-73.5681,1
441,71465,2023-07-19 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.462781,-73.567009,4
441,72094,2023-07-21 00:00:00,Feu de cuisinière,Incendies de bâtiments,66,Montréal,Verdun,2,45.44551,-73.581056,11
441,72692,2023-07-23 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.470822,-73.561341,6
441,72716,2023-07-23 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46283,-73.5681,1
441,73513,2023-07-26 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.461011,-73.567169,1
441,75022,2023-07-30 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46389,-73.567999,1
441,75788,2023-08-02 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.463135,-73.575127,2
441,82165,2023-08-21 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.452346,-73.567957,2
441,83094,2023-08-24 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.452101,-73.574493,4
441,83154,2023-08-24 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.439976,-73.586066,2
441,84198,2023-08-27 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.448018,-73.570546,1
441,84527,2023-08-28 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.437691,-73.584927,1
441,84703,2023-08-29 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.448951,-73.583447,1
441,88242,2023-09-07 00:00:00,Feu / 2e Alerte,Incendies de bâtiments,66,Montréal,Verdun,2,45.451837,-73.56799,30
441,91318,2023-09-16 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.454239,-73.581323,1
441,91438,2023-09-16 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.43948,-73.591648,1
441,92020,2023-09-18 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46819,-73.566065,1
441,92469,2023-09-20 00:00:00,Feu / 2e Alerte,Incendies de bâtiments,66,Montréal,Verdun,2,45.466265,-73.565865,52
441,95839,2023-09-29 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.439976,-73.586066,1
441,96942,2023-10-02 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.462696,-73.562548,1
441,97113,2023-10-02 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.462714,-73.565487,1
441,98790,2023-10-06 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.459941,-73.563162,1
441,99181,2023-10-07 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.44643,-73.584247,6
441,100177,2023-10-09 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.448913,-73.579685,1
441,101687,2023-10-13 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.44643,-73.584247,6
441,101984,2023-10-14 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.457945,-73.569619,1
441,102340,2023-10-15 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.439976,-73.586066,1
441,107118,2023-10-29 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.44995,-73.58618,1
441,109231,2023-11-04 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.459871,-73.571619,2
441,109637,2023-11-05 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.459063,-73.563254,1
441,111543,2023-11-11 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46495,-73.567907,1
441,112601,2023-11-14 00:00:00,Feu / 3e Alerte,Incendies de bâtiments,66,Montréal,Verdun,2,45.453668,-73.567836,40
441,117407,2023-11-28 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.462781,-73.567009,1
441,117672,2023-11-29 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.461011,-73.567169,1
441,117675,2023-11-29 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.456359,-73.57411,1
441,117967,2023-11-30 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.465159,-73.572778,13
441,118113,2023-12-01 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.461899,-73.56709,1
441,118117,2023-12-01 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.461646,-73.571461,1
441,121841,2023-12-10 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46389,-73.567999,1
441,123160,2023-12-14 00:00:00,Feu de bâtiment,Incendies de bâtiments,66,Montréal,Verdun,2,45.462232,-73.57467,27
441,124081,2023-12-17 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.450563,-73.568099,4
441,126910,2023-12-25 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.464356,-73.578811,6
441,128629,2023-12-30 00:00:00,Feu de bâtiment,Incendies de bâtiments,66,Montréal,Verdun,2,45.445165,-73.581175,25
441,1432,2024-01-05 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.443735,-73.576576,1
441,3398,2024-01-11 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.46236,-73.577553,1
441,5233,2024-01-17 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.447585,-73.571511,1
441,8082,2024-01-26 00:00:00,Feu de nature électrique,Incendies de bâtiments,66,Montréal,Verdun,2,45.466993,-73.564563,6
441,12127,2024-02-07 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.459428,-73.571659,6
441,15417,2024-02-17 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.464092,-73.56454,2
441,15805,2024-02-18 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.461646,-73.571461,5
441,16524,2024-02-20 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.459428,-73.571659,1
441,18815,2024-02-28 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.46236,-73.577553,1
441,20400,2024-03-03 00:00:00,Feu / 2e Alerte,Incendies de bâtiments,66,Montréal,Verdun,2,45.451508,-73.567771,35
441,20718,2024-03-04 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.460567,-73.56721,1
441,20757,2024-03-04 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.454698,-73.572084,1
441,22145,2024-03-09 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.459428,-73.571659,5
441,22335,2024-03-09 00:00:00,Feu de cuisinière,Incendies de bâtiments,66,Montréal,Verdun,2,45.454698,-73.572084,5
441,23134,2024-03-12 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.452516,-73.572282,3
441,23603,2024-03-14 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.459428,-73.571659,1
441,24100,2024-03-15 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.472273,-73.571055,1
441,24755,2024-03-17 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.441401,-73.596089,1
441,29004,2024-03-31 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.470339,-73.561924,1
441,29034,2024-03-31 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.449843,-73.584691,1
441,29462,2024-04-02 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.469611,-73.566142,6
441,30424,2024-04-04 00:00:00,Feu de bâtiment,Incendies de bâtiments,66,Montréal,Verdun,2,45.468817,-73.569715,22
441,31401,2024-04-06 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.464259,-73.562806,1
441,32697,2024-04-10 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.439976,-73.586066,1
441,32844,2024-04-10 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.456231,-73.579924,1
441,34968,2024-04-16 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.457457,-73.571834,1
441,36051,2024-04-20 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.45365,-73.567373,1
441,36482,2024-04-21 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.464092,-73.56454,4
441,36885,2024-04-23 00:00:00,Feu de bâtiment,Incendies de bâtiments,66,Montréal,Verdun,2,45.471281,-73.5644,21
