YEAR,MONTH,CASERNE,MEDIAN_NOMBRE_UNITES,FIRE_COUNT,AREA_SQ_KM,FIRE_COUNT_SQ_KM,LOG_MEDIAN_NOMBRE_UNITES,LOG_FIRE_COUNT_SQ_KM,SEVERITY_RISK,FREQUENCY_RISK
2005,4,21,1.0,27,9.76,2.77,0.0,1.3270750014599193,0.0,45.0
2005,4,22,1.0,4,3.8,1.05,0.0,0.7178397931503168,0.0,24.0
2005,4,23,1.0,16,4.73,3.38,0.0,1.4770487243883548,0.0,50.0
2005,4,25,1.0,10,2.99,3.34,0.0,1.4678743481123135,0.0,50.0
2005,4,26,3.0,4,1.99,2.01,1.0986122886681098,1.1019400787607843,25.0,37.0
2005,4,27,4.0,13,6.64,1.96,1.3862943611198906,1.085189268335969,32.0,36.0
2005,4,28,2.0,10,13.87,0.72,0.6931471805599453,0.5423242908253617,16.0,17.0
2005,4,29,1.0,10,4.06,2.46,0.0,1.2412685890696329,0.0,42.0
2005,4,30,4.0,13,3.44,3.78,1.3862943611198906,1.5644405465033644,32.0,53.0
2005,4,31,1.0,11,2.01,5.47,0.0,1.8671761085128091,0.0,63.0
2005,4,33,3.0,9,5.14,1.75,1.0986122886681098,1.0116009116784799,25.0,34.0
2005,4,34,1.0,10,4.04,2.48,0.0,1.247032293786383,0.0,42.0
2005,4,35,1.0,27,3.08,8.77,0.0,2.2793164660546914,0.0,78.0
2005,4,37,3.5,18,4.69,3.84,1.252762968495368,1.5769147207285403,28.999999999999996,53.0
2005,4,38,1.0,26,20.3,1.28,0.0,0.8241754429663495,0.0,27.0
2005,4,39,1.0,13,8.68,1.5,0.0,0.9162907318741551,0.0,30.0
2005,4,40,1.0,33,8.98,3.67,0.0,1.541159071680806,0.0,52.0
2005,4,41,5.0,9,2.48,3.63,1.6094379124341003,1.5325568680981427,37.0,52.0
2005,4,42,3.0,12,10.29,1.17,1.0986122886681098,0.7747271675523681,25.0,26.0
2005,4,43,2.5,6,5.11,1.17,0.9162907318741551,0.7747271675523681,21.0,26.0
2005,4,44,1.0,16,13.98,1.14,0.0,0.7608058290337599,0.0,25.0
2005,4,45,1.0,9,3.99,2.26,0.0,1.1817271953786161,0.0,40.0
2005,4,46,1.0,14,5.32,2.63,0.0,1.2892326482767593,0.0,43.0
2005,4,47,1.0,4,3.71,1.08,0.0,0.7323678937132266,0.0,24.0
2005,4,48,1.0,6,2.28,2.63,0.0,1.2892326482767593,0.0,43.0
2005,4,49,2.0,10,7.05,1.42,0.6931471805599453,0.883767540168595,16.0,28.999999999999996
2005,4,50,4.0,6,6.11,0.98,1.3862943611198906,0.6830968447064438,32.0,22.0
2005,4,51,2.0,21,17.84,1.18,0.6931471805599453,0.7793248768009975,16.0,26.0
2005,4,53,1.0,6,10.99,0.55,0.0,0.4382549309311553,0.0,14.000000000000002
