INCIDENT_NBR,CREATION_DATE,INCIDENT_TYPE_DESC,DESCRIPTION_GROUPE,CASERNE,NOM_VILLE,NOM_ARROND,DIVISION,LATITUDE,LONGITUDE,NOMBRE_UNITES,DESC_GROUP_ENGLISH
1227,2005-01-10,Déchets en feu,Autres incendies,65,Lasalle,LaSalle,14,45.4233208860798,-73.6378255058889,1.0,Other fires
1228,2005-01-10,Feu de cheminée *,Autres incendies,13,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5432518201205,-73.5413108962169,4.0,Other fires
1230,2005-01-10,10-22 avec feu,Incendies de bâtiments,61,Dollard-des-Ormeaux,Dollard-des-Ormeaux / Roxboro,11,45.4871176708864,-73.7937127035981,2.0,Building fire
1236,2005-01-10,Feu / Agravation possible,Incendies de bâtiments,29,Montréal,Rosemont / Petite-Patrie,22,45.5457295814742,-73.57555623013,20.0,Building fire
1243,2005-01-11,10-22 avec feu,Incendies de bâtiments,9,Montréal,Villeray / St-Michel / Parc Extension,20,45.5604545714,-73.59264220089,6.0,Building fire
1246,2005-01-11,10-22 avec feu,Incendies de bâtiments,37,Montréal,Villeray / St-Michel / Parc Extension,20,45.551485747944,-73.6126623499068,7.0,Building fire
1251,2005-01-11,Feu de véhicule extérieur,Autres incendies,57,Pierrefonds ,Pierrefonds / Senneville,11,45.4662204193019,-73.8634487560559,1.0,Other fires
1252,2005-01-11,10-22 avec feu,Incendies de bâtiments,5,Montréal,Ville-Marie,18,45.5173600375631,-73.5571534136997,5.0,Building fire
1259,2005-01-11,Déchets en feu,Autres incendies,57,Pierrefonds ,Pierrefonds / Senneville,11,45.507166703986,-73.7931618562965,3.0,Other fires
1275,2005-01-11,Feu / 2e Alerte,Incendies de bâtiments,20,Montréal,Ville-Marie,18,45.4992367876044,-73.5557682750028,31.0,Building fire
1319,2005-01-11,Feu de véhicule extérieur,Autres incendies,29,Montréal,Rosemont / Petite-Patrie,22,45.5474725579759,-73.5789821000651,1.0,Other fires
1324,2005-01-11,Déchets en feu,Autres incendies,15,Montréal,Sud-Ouest,15,45.4814329983472,-73.5645083707998,1.0,Other fires
1337,2005-01-11,Feu / Agravation possible,Incendies de bâtiments,33,Montréal,Sud-Ouest,15,45.4760829459091,-73.576509930747,20.0,Building fire
1347,2005-01-12,Déchets en feu,Autres incendies,35,Montréal,Ahuntsic / Cartierville,21,45.5557331737255,-73.6677837575123,1.0,Other fires
1355,2005-01-12,Déchets en feu,Autres incendies,17,Montréal-Nord,Montréal-Nord,21,45.5954588919083,-73.6370029575909,2.0,Other fires
1358,2005-01-12,Feu / Agravation possible,Incendies de bâtiments,50,Montréal,Rosemont / Petite-Patrie,22,45.5752024746103,-73.5672860467137,20.0,Building fire
1360,2005-01-12,Déchets en feu,Autres incendies,72,Saint-Laurent,Saint-Laurent,13,45.4928614407798,-73.7111418920984,2.0,Other fires
1383,2005-01-12,Feu de cheminée *,Autres incendies,21,Saint-Léonard,Saint-Léonard,20,45.5795178107606,-73.5939815455678,4.0,Other fires
1403,2005-01-12,Feu de champ *,Autres incendies,39,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.580802864325,-73.5607379627891,1.0,Other fires
1413,2005-01-12,10-22 avec feu,Incendies de bâtiments,16,Montréal,Mont-Royal,22,45.5329309866407,-73.5841857344565,6.0,Building fire
1443,2005-01-12,Feu de véhicule extérieur,Autres incendies,40,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5932502761787,-73.5244500121772,2.0,Other fires
1451,2005-01-12,Feu / Agravation possible,Incendies de bâtiments,13,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5496487469374,-73.5361693004264,19.0,Building fire
1462,2005-01-13,Déchets en feu,Autres incendies,48,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.54691304815,-73.5513551547604,1.0,Other fires
1466,2005-01-13,10-22 avec feu,Incendies de bâtiments,47,Montréal,Rosemont / Petite-Patrie,22,45.5449695146469,-73.6004987064677,6.0,Building fire
